id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1332442680488579073,1332440060495597568,2020-11-27 21:54:25 UTC,2020-11-27,21:54:25,+0000,1279943686806216705,ragnardaneskold,Ragnar Danneskjöld,,"I realize my organic corn is the same. It’s a commodity. It goes to organic egg birds. But my organic food grade soy beans, which ate turned it in soy milk, wheat, barley, oats, are all real food!",en,[],[],[],0,1,4,[],[],https://twitter.com/RagnarDaneskold/status/1332442680488579073,False,,0,,,,,,,,[],,,,
1331578311634509825,1331578311634509825,2020-11-25 12:39:43 UTC,2020-11-25,12:39:43,+0000,830261183202594816,commodityimpvol,CommodityVol.com,,"#OATT #AGS #GRAINS #BEANS #OATS OPTIONS Nov 24, 2020 O G[19] 2021 Vol= 0.2780 Strike= 3 Please visit  https://t.co/1v89yWoPUs to view our offerings  https://t.co/6RC1eR36MF",en,[],['https://www.commodityvol.com'],['https://pbs.twimg.com/media/Enq3askWMAEfr69.jpg'],1,0,0,"['oatt', 'ags', 'grains', 'beans', 'oats']",[],https://twitter.com/CommodityImpVol/status/1331578311634509825,False,,1,https://pbs.twimg.com/media/Enq3askWMAEfr69.jpg,,,,,,,[],,,,
1328795614071709707,1328794788800368640,2020-11-17 20:22:16 UTC,2020-11-17,20:22:16,+0000,459542841,grizvacation,Glenn Griswold,,@davidfrum Gold is a commodity like oil and timber Why don't we base the dollar Oats ?,en,[],[],[],0,0,0,[],[],https://twitter.com/grizvacation/status/1328795614071709707,False,,0,,,,,,,,"[{'screen_name': 'davidfrum', 'name': 'David Frum', 'id': '18686907'}]",,,,
1324364812277682176,1324364812277682176,2020-11-05 14:55:51 UTC,2020-11-05,14:55:51,+0000,773147099668045824,superhero_dawe,Peter Dawe #CarbonZero,,"Food commodity prices are all going through the roof! Wheat, soya, rapeseed, oats, palm oil... you name it! Why isn't this headline news? Food price inflation of 30%+ is on the cards",en,[],[],[],1,1,4,[],[],https://twitter.com/SuperHero_Dawe/status/1324364812277682176,False,,0,,,,,,,,[],,,,
1321874823379931136,1321874823379931136,2020-10-29 18:01:31 UTC,2020-10-29,18:01:31,+0000,894348543296712704,basementvegan,Neil 🇺🇸 Ⓥ #StayHome #BLM,,"As sales of oat milk in the US have more grown from $4.4m in 2017 to $29m in 2019, placing it first ahead of almond milk as the fastest-growing non-dairy milk, oats could one day become more of a commodity. #DitchDairy  https://t.co/orCBNwDsWz",en,[],['http://thebeet.com/youve-ditched-dairy-but-which-plant-based-milk-is-best-for-the-environment'],[],0,0,1,['ditchdairy'],[],https://twitter.com/basementvegan/status/1321874823379931136,False,,0,,,,,,,,[],,,,
1321768590329192448,1321768590329192448,2020-10-29 10:59:23 UTC,2020-10-29,10:59:23,+0000,1061389736,miglutenfreegal,Margaret Clegg,,"Commodity. Certified. Purity Protoco. In the gluten free community, these are all words we use to describe oats. What do these words mean, and more importantly, what do they mean for our health?   https://t.co/3pH0AyYSkG #NationalOatmealDay  https://t.co/jCx38TWMYo",en,[],['https://miglutenfreegal.com/2019/01/16/gluten-free-oats-differences-defined/'],['https://pbs.twimg.com/media/Elfdcn1W0Agy1-c.png'],0,1,2,['nationaloatmealday'],[],https://twitter.com/MIGlutenFreeGal/status/1321768590329192448,False,,1,https://pbs.twimg.com/media/Elfdcn1W0Agy1-c.png,,,,,,,[],,,,
1321762182128873472,1321762182128873472,2020-10-29 10:33:56 UTC,2020-10-29,10:33:56,+0000,1023225021781692419,manoyroman,Roman Manoy,,Commodity: Oats Origin: Ukraine Crop: 2020 MOQ: 112 mt (4x40’) Packing: in bulk or in 40 pp bags. Price: CFR ASWP on request Payment: 10/90 TT only (no any 100% CAD) Please send your request with full details on email: 3891romio@gmail.com #oats #feed #grain #cereals #seeds #agri  https://t.co/5jZ9F295RP,en,[],[],['https://pbs.twimg.com/media/ElfXp2YXIAcy8S1.jpg'],0,0,1,"['oats', 'feed', 'grain', 'cereals', 'seeds', 'agri']",[],https://twitter.com/ManoyRoman/status/1321762182128873472,False,,1,https://pbs.twimg.com/media/ElfXp2YXIAcy8S1.jpg,,,,,,,[],,,,
1318648023879196674,1318648023879196674,2020-10-20 20:19:22 UTC,2020-10-20,20:19:22,+0000,14210851,moiselevi,Moise Levi,,"0% rates, weak $USD, rising inflation ? #commodity #corn #oats #wheat #canola #soybean ... #sugar #cotton ... and metals ...",en,[],[],[],0,2,3,"['commodity', 'corn', 'oats', 'wheat', 'canola', 'soybean', 'sugar', 'cotton']",['usd'],https://twitter.com/moiselevi/status/1318648023879196674,False,,0,,,,,,,,[],,,,
1317142705168879620,1317142705168879620,2020-10-16 16:37:46 UTC,2020-10-16,16:37:46,+0000,1057750184044756992,wwwcommoditycom,Commodity.com,,Oats As a Commodity: What Drives Prices?  https://t.co/NLIOOZCYyh,en,[],['https://commodity.com/soft-agricultural/oats/'],[],0,0,0,[],[],https://twitter.com/wwwcommoditycom/status/1317142705168879620,False,,0,,,,,,,,[],,,,
1310986366487064585,1310985281538084864,2020-09-29 16:54:41 UTC,2020-09-29,16:54:41,+0000,93531410,morelaak,Ragin'-Nomics (A Guy Debord Fan Account),,"@b1g_damage in a creeping but unmistakable manner, you become keenly aware that overnight oats is now no longer food, but a commodity, replete with the trappings of fetishized consumption  ""I won't change it for anything else!"" 5 stars and a $35 check from a holding company in AZ",en,[],[],[],1,0,1,[],[],https://twitter.com/Morelaak/status/1310986366487064585,False,,0,,,,,,,,"[{'screen_name': 'b1g_damage', 'name': 'Jared 🗿🌱🇰🇵', 'id': '2912423935'}]",,,,
