Date,Open,High,Low,Close,Volume,Currency
2010-11-01,585.0,590.75,572.0,577.25,163197,USD
2010-11-02,577.75,583.0,572.25,575.75,178280,USD
2010-11-03,576.25,582.25,568.75,581.0,203281,USD
2010-11-04,581.0,595.75,580.5,590.0,193299,USD
2010-11-05,590.0,591.75,583.0,587.75,188473,USD
2010-11-08,587.5,592.0,584.5,585.25,181957,USD
2010-11-09,585.5,605.0,571.0,576.25,368624,USD
2010-11-10,575.0,580.25,565.0,566.75,234149,USD
2010-11-11,567.0,574.25,557.5,564.0,240557,USD
2010-11-12,564.0,566.5,534.0,534.0,270071,USD
2010-11-15,541.75,567.0,539.0,555.5,209834,USD
2010-11-16,555.0,556.25,525.5,526.5,265132,USD
2010-11-17,527.5,536.0,509.0,525.75,239339,USD
2010-11-18,527.0,546.5,526.0,541.75,152125,USD
2010-11-19,542.75,548.25,518.5,520.75,197574,USD
2010-11-22,515.25,532.25,511.75,515.25,215864,USD
2010-11-23,518.5,531.5,506.25,528.5,216145,USD
2010-11-24,528.5,539.5,528.5,538.75,145624,USD
2010-11-26,540.0,543.5,530.75,538.25,91560,USD
2010-11-29,542.5,545.0,535.25,538.25,173312,USD
2010-11-30,539.0,541.0,529.5,530.0,57505,USD
2010-12-01,530.75,552.75,528.75,551.75,49513,USD
2010-12-02,550.0,553.25,540.5,540.75,36142,USD
2010-12-03,541.0,559.5,541.0,559.0,23743,USD
2010-12-06,559.0,560.5,548.0,553.75,24310,USD
2010-12-07,554.25,562.0,542.75,547.25,18136,USD
2010-12-08,547.0,559.75,538.25,559.5,14866,USD
2010-12-09,559.5,564.5,554.5,560.25,12495,USD
2010-12-10,562.0,565.25,553.75,560.25,11105,USD
2010-12-12,574.88,574.88,574.88,574.88,0,USD
2010-12-13,561.0,576.0,555.5,575.25,5973,USD
2010-12-14,573.75,578.25,571.5,574.5,4794,USD
2010-12-15,586.0,594.5,580.0,584.25,128396,USD
2010-12-16,583.25,590.0,581.5,587.5,87439,USD
2010-12-17,587.0,599.0,585.5,596.5,113487,USD
2010-12-20,597.0,604.0,596.5,599.5,93069,USD
2010-12-21,599.0,604.0,598.0,602.25,75074,USD
2010-12-22,602.5,609.75,600.0,609.0,101209,USD
2010-12-23,608.5,614.75,606.5,614.0,86297,USD
2010-12-24,613.13,613.13,613.13,613.13,0,USD
2010-12-27,610.0,619.0,609.25,615.25,62225,USD
2010-12-28,614.5,624.25,612.5,623.25,82057,USD
2010-12-29,622.5,626.5,619.0,624.0,72854,USD
2010-12-30,623.0,625.0,612.5,616.0,94981,USD
2010-12-31,616.25,630.0,615.75,629.0,69508,USD
2011-01-03,626.25,634.0,620.0,620.5,122199,USD
2011-01-04,620.0,623.5,603.25,608.5,177112,USD
2011-01-05,609.0,619.75,600.25,619.25,164318,USD
2011-01-06,618.75,621.5,600.25,602.0,178708,USD
2011-01-07,600.5,604.5,595.0,595.0,164232,USD
2011-01-10,597.5,614.0,597.25,607.0,165455,USD
2011-01-11,608.0,615.5,603.5,607.0,146506,USD
2011-01-12,608.0,637.0,605.5,631.0,214201,USD
2011-01-13,633.5,649.5,633.25,642.5,199502,USD
2011-01-14,645.0,652.0,636.25,648.75,159213,USD
2011-01-17,649.63,649.63,649.63,649.63,0,USD
2011-01-18,647.25,662.75,645.5,659.5,171361,USD
2011-01-19,659.5,666.25,637.25,641.25,225524,USD
2011-01-20,641.25,654.75,627.5,654.0,198694,USD
2011-01-21,656.0,667.0,650.5,657.25,181672,USD
2011-01-23,656.88,656.88,656.88,656.88,0,USD
2011-01-24,659.5,661.5,650.5,655.25,129965,USD
2011-01-25,654.75,655.0,639.25,644.0,169909,USD
2011-01-26,644.0,662.0,640.25,657.75,145601,USD
2011-01-27,658.5,661.75,647.5,650.75,144411,USD
2011-01-28,652.0,657.75,642.5,644.0,149126,USD
2011-01-31,642.25,659.5,642.25,659.5,143660,USD
2011-02-01,658.75,666.75,655.75,666.0,136793,USD
2011-02-02,665.5,674.5,663.25,669.25,135553,USD
2011-02-03,669.0,673.75,658.5,662.5,155387,USD
2011-02-04,664.0,679.5,659.5,678.5,144574,USD
2011-02-07,677.0,682.5,669.5,674.75,182660,USD
2011-02-08,674.0,675.0,666.25,673.75,147470,USD
2011-02-09,673.5,700.75,673.25,698.0,231721,USD
2011-02-10,698.0,704.5,694.25,698.5,224737,USD
2011-02-11,698.75,706.75,695.0,706.5,179714,USD
2011-02-14,706.25,710.5,695.0,695.75,156566,USD
2011-02-15,697.0,699.75,680.25,690.5,218422,USD
2011-02-16,691.5,695.0,682.75,690.5,165499,USD
2011-02-17,692.0,712.75,692.0,712.75,121105,USD
2011-02-18,712.0,715.0,701.75,709.75,156484,USD
2011-02-22,714.5,724.25,679.75,679.75,176836,USD
2011-02-23,672.5,693.75,656.5,691.5,194778,USD
2011-02-24,693.0,698.0,680.0,685.75,147134,USD
2011-02-25,685.0,722.25,683.25,712.0,137423,USD
2011-02-28,712.5,723.5,706.75,722.5,39229,USD
2011-03-01,722.0,727.75,717.25,727.25,28952,USD
2011-03-02,726.25,732.5,699.75,714.0,18565,USD
2011-03-03,714.0,730.0,711.0,729.75,8537,USD
2011-03-04,729.5,735.0,716.25,721.25,9568,USD
2011-03-07,721.25,726.0,704.25,710.75,5401,USD
2011-03-08,710.75,712.0,694.5,698.75,4674,USD
2011-03-09,699.0,707.25,685.0,695.0,3446,USD
2011-03-10,694.5,696.0,675.0,676.25,2715,USD
2011-03-11,677.75,677.75,646.25,659.25,1486,USD
2011-03-13,666.63,668.88,659.13,659.63,0,USD
2011-03-14,658.0,668.0,650.5,664.0,678,USD
2011-03-15,667.25,667.75,636.0,636.0,189088,USD
2011-03-16,630.0,647.75,608.0,616.5,283674,USD
2011-03-17,618.25,646.5,616.0,646.5,118749,USD
2011-03-18,656.0,691.5,652.25,683.5,248242,USD
2011-03-20,685.88,698.38,685.88,695.13,0,USD
2011-03-21,685.75,698.5,676.0,686.5,141444,USD
2011-03-22,686.75,687.0,673.0,686.75,129106,USD
2011-03-23,687.5,691.25,678.25,681.0,116369,USD
2011-03-24,681.0,703.5,676.25,702.5,213013,USD
2011-03-25,702.75,717.25,688.25,689.5,204084,USD
2011-03-27,692.63,694.63,691.38,693.38,0,USD
2011-03-28,692.75,694.75,668.25,671.0,152408,USD
2011-03-29,671.0,677.0,661.25,671.75,149177,USD
2011-03-30,672.25,675.0,660.0,663.25,147177,USD
2011-03-31,663.25,693.25,659.25,693.25,64247,USD
2011-04-01,730.0,738.25,725.0,736.0,224259,USD
2011-04-03,735.13,741.63,734.63,738.13,0,USD
2011-04-04,736.0,765.0,734.0,760.25,196929,USD
2011-04-05,758.25,770.75,754.5,766.75,165996,USD
2011-04-06,765.0,767.0,757.5,763.0,139675,USD
2011-04-07,762.75,773.25,752.75,759.0,192597,USD
2011-04-08,759.0,769.25,751.25,768.0,240918,USD
2011-04-10,772.63,783.63,772.63,781.75,0,USD
2011-04-11,772.75,783.75,760.0,776.0,166109,USD
2011-04-12,775.25,775.5,746.75,752.5,216651,USD
2011-04-13,753.25,768.5,746.5,755.5,207989,USD
2011-04-14,757.5,760.25,741.25,754.25,158742,USD
2011-04-15,755.0,758.25,739.5,742.0,164728,USD
2011-04-17,747.63,748.63,741.88,746.25,0,USD
2011-04-18,740.5,753.25,733.75,751.75,196248,USD
2011-04-19,752.25,757.25,747.5,749.0,113079,USD
2011-04-20,749.0,768.0,728.75,732.75,118858,USD
2011-04-21,733.25,741.5,728.5,737.25,110024,USD
2011-04-22,745.63,745.63,745.63,745.63,0,USD
2011-04-24,757.63,763.13,756.13,761.13,0,USD
2011-04-25,748.25,765.25,746.0,762.5,144141,USD
2011-04-26,765.5,771.0,751.25,766.25,158025,USD
2011-04-27,766.75,767.75,750.0,752.25,160696,USD
2011-04-28,757.0,761.25,715.5,723.0,161817,USD
2011-04-29,723.25,758.5,719.75,754.0,55921,USD
2011-05-01,752.38,757.5,750.88,753.88,0,USD
2011-05-02,752.75,757.75,728.25,730.75,22670,USD
2011-05-03,735.5,738.5,716.0,719.0,18933,USD
2011-05-04,719.5,730.75,711.75,726.5,9003,USD
2011-05-05,728.25,733.5,699.0,705.0,6901,USD
2011-05-06,704.5,716.5,677.5,682.75,5524,USD
2011-05-08,690.5,690.5,685.88,689.88,0,USD
2011-05-09,682.75,706.0,682.75,704.5,4106,USD
2011-05-10,704.0,720.75,701.0,706.0,2550,USD
2011-05-11,708.0,711.25,668.5,668.75,2610,USD
2011-05-12,669.75,693.0,659.25,681.25,1574,USD
2011-05-13,685.25,687.75,674.5,679.0,378,USD
2011-05-15,688.88,699.38,688.88,697.88,0,USD
2011-05-16,689.0,708.0,688.75,697.5,138184,USD
2011-05-17,697.5,721.0,695.5,720.25,147132,USD
2011-05-18,721.75,750.25,721.5,749.75,164860,USD
2011-05-19,749.25,760.25,742.5,748.25,156387,USD
2011-05-20,748.0,765.0,743.25,759.5,153228,USD
2011-05-22,769.25,774.38,765.75,773.88,0,USD
2011-05-23,769.0,775.0,750.0,754.0,152056,USD
2011-05-24,754.25,759.0,726.75,733.25,167096,USD
2011-05-25,735.0,747.0,732.25,742.25,117083,USD
2011-05-26,744.0,758.5,743.5,745.5,135062,USD
2011-05-27,747.5,759.0,740.75,758.5,120456,USD
2011-05-30,748.13,753.13,745.75,751.13,0,USD
2011-05-31,749.0,763.75,743.0,747.5,148538,USD
2011-06-01,751.0,760.5,741.0,758.5,163809,USD
2011-06-02,757.5,770.0,754.5,766.5,135173,USD
2011-06-03,765.5,769.0,751.0,754.0,122238,USD
2011-06-05,754.13,757.13,754.13,755.63,0,USD
2011-06-06,754.0,758.0,731.5,732.0,139370,USD
2011-06-07,732.0,737.75,729.25,736.5,188507,USD
2011-06-08,738.75,766.5,734.5,764.0,224538,USD
2011-06-09,764.0,793.0,759.5,785.5,213502,USD
2011-06-10,785.0,799.75,777.0,787.0,171077,USD
2011-06-12,785.88,791.88,785.38,790.63,0,USD
2011-06-13,786.0,792.5,777.25,782.5,162361,USD
2011-06-14,779.25,779.5,752.5,755.5,188439,USD
2011-06-15,760.25,762.25,725.5,725.75,235152,USD
2011-06-16,725.75,728.5,698.75,701.5,222258,USD
2011-06-17,700.5,714.5,691.25,700.25,174752,USD
2011-06-19,704.75,705.63,697.63,699.63,0,USD
2011-06-20,704.5,707.75,695.5,700.5,132757,USD
2011-06-21,703.0,719.25,702.25,707.5,172807,USD
2011-06-22,709.0,714.0,677.5,677.5,172359,USD
2011-06-23,675.0,688.0,639.0,680.5,194372,USD
2011-06-24,687.0,697.75,669.0,670.0,160547,USD
2011-06-26,652.88,653.38,645.13,645.88,0,USD
2011-06-27,669.0,669.5,650.0,660.75,138082,USD
2011-06-28,667.75,684.5,661.0,683.0,135555,USD
2011-06-29,689.5,714.5,684.5,698.0,143359,USD
2011-06-30,699.0,708.5,615.0,629.0,102047,USD
2011-07-01,629.0,652.75,620.75,640.75,30771,USD
2011-07-04,606.25,621.38,606.25,620.38,0,USD
2011-07-05,650.75,684.25,649.0,680.5,16278,USD
2011-07-06,679.5,680.0,647.5,648.75,12818,USD
2011-07-07,648.25,668.0,647.5,650.0,5513,USD
2011-07-08,652.5,672.0,652.5,672.25,3027,USD
2011-07-10,643.88,644.88,642.63,643.63,0,USD
2011-07-11,672.5,681.0,663.5,681.5,3074,USD
2011-07-12,682.0,713.5,667.0,697.0,2619,USD
2011-07-13,702.0,740.0,702.0,726.75,1849,USD
2011-07-14,724.0,742.0,711.5,716.5,763,USD
2011-07-15,690.75,711.0,686.75,701.25,72336,USD
2011-07-17,701.88,703.13,686.38,687.75,0,USD
2011-07-18,701.75,703.25,683.0,696.25,54833,USD
2011-07-19,703.25,723.5,696.5,698.0,77845,USD
2011-07-20,698.25,708.75,685.75,688.0,55660,USD
2011-07-21,687.5,690.5,670.75,679.25,59580,USD
2011-07-22,679.25,691.0,672.75,690.0,70366,USD
2011-07-24,678.38,681.75,675.63,679.25,0,USD
2011-07-25,678.25,683.75,671.75,678.75,44739,USD
2011-07-26,682.25,690.5,675.5,689.75,56593,USD
2011-07-27,689.5,693.0,677.0,691.5,70663,USD
2011-07-28,690.25,690.5,680.0,682.25,80120,USD
2011-07-29,684.0,684.5,662.25,665.5,78720,USD
2011-07-31,668.5,669.88,665.38,668.63,0,USD
2011-08-01,668.5,684.0,665.25,681.25,70405,USD
2011-08-02,680.25,711.25,677.0,711.25,99777,USD
2011-08-03,711.0,714.25,700.5,706.0,88522,USD
2011-08-04,705.25,706.0,681.75,693.75,84612,USD
2011-08-05,688.0,699.75,679.0,693.0,104989,USD
2011-08-07,680.75,689.88,679.38,686.38,0,USD
2011-08-08,680.75,691.0,670.5,675.25,90009,USD
2011-08-09,673.0,687.75,658.5,678.25,99674,USD
2011-08-10,682.75,689.25,676.25,678.0,82997,USD
2011-08-11,676.75,708.0,676.0,702.5,98668,USD
2011-08-12,702.0,707.75,697.5,701.75,90191,USD
2011-08-14,703.5,708.63,703.5,708.63,0,USD
2011-08-15,703.75,711.75,702.75,707.25,53443,USD
2011-08-16,707.0,715.0,700.0,714.0,66021,USD
2011-08-17,713.0,720.5,708.25,711.5,56827,USD
2011-08-18,710.5,711.0,695.0,699.0,59927,USD
